pl_name,hostname,sy_snum,sy_pnum,discoverymethod,st_spectype,releasedate,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_logg
WASP-89 b,WASP-89,1,1,Transit,K3,2015-07-09,2015,SuperWASP,3.3564227,0.0427,11.657,1875.197,1120,5130,0.88,0.92,4.51
WASP-90 b,WASP-90,1,1,Transit,F6,2016-01-21,2016,SuperWASP,3.916243,0.0562,18.271,200.2329,1840,6430,1.98,1.55,4.03
WASP-91 b,WASP-91,1,1,Transit,K3,2017-08-17,2017,SuperWASP-South,2.798581,0.037,11.545,425.8922,1160,4920,0.86,0.84,4.3
WASP-92 b,WASP-92,1,1,Transit,F7,2016-09-08,2016,SuperWASP,2.1746742,0.0348,16.376,255.85315,1871,6280,1.34,1.19,4.26
WASP-93 b,WASP-93,1,1,Transit,F4,2016-09-08,2016,SuperWASP,2.7325321,0.04211,17.901,467.2101,1942,6700,1.52,1.33,4.2
WASP-96 b,WASP-96,1,1,Transit,G8,2014-05-14,2014,SuperWASP,3.4252602,0.0453,13.45,152.55,1285,5540,1.05,1.06,4.42
WASP-98 b,WASP-98,2,1,Transit,,2016-08-04,2014,SuperWASP,2.96264036,0.03762,12.823,293.03926,1171,5473,0.74,0.81,4.61
WD 1856+534 b,WD 1856+534,3,1,Transit,,2020-12-17,2020,Transiting Exoplanet Survey Satellite (TESS),1.4079405,0.0204,10.4,4386.054,163,4710,0.01,0.52,7.92
WISEP J121756.91+162640.2 A b,WISEP J121756.91+162640.2 A,1,1,Imaging,T8.5,2014-05-14,2012,W. M. Keck Observatory,,8,10.468,6992,450,575,0.09,0.03,5
WTS-1 b,WTS-1,1,1,Transit,F6 V,2014-05-14,2012,United Kingdom Infrared Telescope,3.352057,0.047,16.7,1274.44,1500,6250,1.15,1.2,4.4
WTS-2 b,WTS-2,1,1,Transit,K2 V,2015-04-24,2014,United Kingdom Infrared Telescope,1.0187068,0.01855,15.278,355.9696,2000,5000,0.75,0.82,4.6
Wendelstein-1 b,Wendelstein-1,1,1,Transit,K7 V,2020-07-09,2020,Haleakala Observatory,2.663416,0.0282,11.561,188.15536,2198,4251,0.61,0.65,
Wendelstein-2 b,Wendelstein-2,1,1,Transit,K6 V,2020-07-09,2020,Haleakala Observatory,1.7522239,0.0234,12.993,232.33373,2470,4591,0.66,0.73,
Wolf 327 b,Wolf 327,1,1,Transit,M2.5 V,2024-02-05,2024,Transiting Exoplanet Survey Satellite (TESS),0.5734745,0.01,1.24,2.53,996,3542,0.41,0.41,4.87
Wolf 503 b,Wolf 503,1,1,Transit,,2023-04-17,2018,K2,6.00127,0.05712,2.043,6.27,789,4716,0.69,0.69,
XO-5 b,XO-5,1,1,Transit,,2015-02-12,2008,XO,4.1877558,0.0515,12.78,378.2,1230,5430,1.13,1.04,4.35
XO-6 b,XO-6,1,1,Transit,F5,2016-12-21,2016,XO,3.7650007,0.0815,23.203,1398.452,1577,6720,1.93,1.47,4.04
XO-7 b,XO-7,1,1,Transit,G0 V,2020-01-16,2019,XO,2.8641424,0.04421,15.39,225.34147,1743,6250,1.48,1.41,4.25
